
年月日,平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa)
2023/3/7,9.0,8,0,1,8,9.6,0,8,1.9,8,6.0,8
2023/3/8,13.3,8,0,1,8,10.1,0,8,2.9,8,5.8,8
2023/3/9,12.8,8,0,1,8,8.6,0,8,2.2,8,8.9,8
2023/3/10,11.6,8,0.0,0,8,2.9,0,8,3.1,8,8.7,8
2023/3/11,9.6,8,0,1,8,10.5,0,8,3.0,8,6.7,8
2023/3/12,9.1,8,0,1,8,0.0,0,8,1.9,8,9.0,8
2023/3/13,10.2,8,5.5,0,8,0.0,0,8,5.4,8,9.9,8
2023/3/14,6.3,8,0,1,8,5.6,0,8,3.8,8,5.5,8
2023/3/15,6.5,8,0,1,8,10.6,0,8,2.6,8,6.9,8
2023/3/16,10.2,8,0.5,0,8,7.1,0,8,2.7,8,9.4,8
2023/3/17,7.9,8,0.0,0,8,7.2,0,8,5.0,8,5.1,8
2023/3/18,3.5,8,11.0,0,8,0.0,0,8,2.7,8,6.3,8
2023/3/19,7.5,8,0,1,8,6.5,0,8,3.3,8,5.2,8
2023/3/20,9.5,8,0,1,8,11.5,0,8,2.2,8,6.1,8
2023/3/21,12.4,8,0,1,8,9.3,0,8,2.7,8,10.0,8
2023/3/22,13.5,8,0,1,8,11.0,0,8,2.9,8,11.6,8
2023/3/23,14.9,8,13.0,0,8,2.6,0,8,3.4,8,15.5,8
2023/3/24,14.3,8,0.5,0,8,0.4,0,8,3.8,8,11.1,8
2023/3/25,7.9,8,0,1,8,0.0,0,8,1.8,8,7.5,8
2023/3/26,8.2,8,30.5,0,8,0.0,0,8,3.1,8,9.8,8
2023/3/27,9.6,8,0.0,0,8,10.1,0,8,5.0,8,6.0,8
2023/3/28,8.0,8,0,1,8,9.9,0,8,2.8,8,6.9,8
2023/3/29,8.7,8,0,1,8,7.8,0,8,2.9,8,8.0,8
2023/3/30,10.2,8,0,1,8,8.9,0,8,2.7,8,9.0,8
2023/3/31,14.1,8,0,1,8,11.3,0,8,2.6,8,8.7,8
2023/4/1,13.1,8,0,1,8,11.9,0,8,3.4,8,6.8,8
2023/4/2,9.2,8,0,1,8,3.8,0,8,2.5,8,8.0,8
2023/4/3,9.6,8,0,1,8,7.2,0,8,2.6,8,7.6,8
2023/4/4,11.4,8,0,1,8,11.3,0,8,2.5,8,7.5,8
2023/4/5,14.3,8,0,1,8,6.7,0,8,2.1,8,9.5,8
2023/4/6,16.7,8,0.0,0,8,1.0,0,8,2.2,8,13.3,8
2023/4/7,16.4,8,2.0,0,8,0.3,0,8,3.6,8,15.5,8
2023/4/8,11.9,8,0.0,0,8,0.7,0,8,3.7,8,9.4,8
2023/4/9,7.3,8,0.5,0,8,7.9,0,8,4.9,8,5.9,8
2023/4/10,12.0,8,0,1,8,11.7,0,8,2.8,8,7.3,8
2023/4/11,15.7,8,0,1,8,10.6,0,8,2.9,8,9.1,8
2023/4/12,13.1,8,0.0,0,8,0.6,0,8,3.6,8,9.9,8
2023/4/13,13.6,8,0.0,0,8,11.0,0,8,3.6,8,5.6,8
2023/4/14,16.5,8,0,1,8,7.7,0,8,3.7,8,8.0,8
2023/4/15,12.7,8,14.0,0,8,0.0,0,8,2.6,8,11.6,8
2023/4/16,14.7,8,4.5,0,8,5.9,0,8,4.8,8,10.5,8
2023/4/17,9.6,8,0.0,0,8,5.3,0,8,4.6,8,7.0,8
2023/4/18,11.7,8,0.0,0,8,4.8,0,8,2.2,8,8.4,8
2023/4/19,15.6,8,0.0,0,8,11.9,0,8,3.0,8,8.7,8
2023/4/20,15.2,8,0,1,8,12.1,0,8,2.5,8,11.3,8
2023/4/21,18.5,8,0,1,8,9.2,0,8,4.8,8,10.1,8
2023/4/22,11.1,8,0,1,8,10.0,0,8,6.2,8,4.4,8
2023/4/23,11.5,8,0.0,0,8,11.4,0,8,5.5,8,4.5,8
2023/4/24,10.6,8,0,1,8,9.8,0,8,4.3,8,4.3,8
2023/4/25,11.1,8,0.0,0,8,10.2,0,8,3.4,8,6.5,8
2023/4/26,13.0,8,24.5,0,8,0.0,0,8,4.6,8,12.7,8
2023/4/27,13.8,8,0.0,0,8,11.8,0,8,4.4,8,7.2,8
2023/4/28,15.1,8,0,1,8,12.5,0,8,2.1,8,11.2,8
2023/4/29,17.1,8,0.0,0,8,11.1,0,8,3.5,8,14.8,8
2023/4/30,17.3,8,2.0,0,8,0.0,0,8,3.1,8,13.9,8
2023/5/1,16.1,8,0.0,0,8,10.1,0,8,4.0,8,9.0,8
2023/5/2,14.3,8,0.0,0,8,11.6,0,8,4.7,8,7.9,8
2023/5/3,14.8,8,0,1,8,9.7,0,8,2.1,8,10.3,8
2023/5/4,18.3,8,0,1,8,12.7,0,8,2.5,8,9.4,8
2023/5/5,18.9,8,0.0,0,8,10.9,0,8,2.3,8,12.1,8
2023/5/6,17.9,8,7.0,0,8,0.0,0,8,1.8,8,16.9,8
2023/5/7,9.7,8,61.0,0,8,0.0,0,8,3.4,8,11.5,8
2023/5/8,7.7,8,29.5,0,8,0.5,0,8,4.5,8,9.3,8
2023/5/9,11.4,8,0,1,8,12.5,0,8,3.0,8,8.8,8
2023/5/10,14.8,8,0,1,8,13.3,0,8,2.7,8,8.2,8
2023/5/11,14.8,8,0,1,8,13.3,0,8,3.1,8,5.9,8
2023/5/12,12.9,8,0,1,8,13.5,0,8,2.5,8,8.2,8
2023/5/13,14.6,8,0,1,8,3.5,0,8,2.9,8,12.7,8
2023/5/14,17.0,8,0.5,0,8,3.2,0,8,6.1,8,14.2,8
2023/5/15,15.8,8,9.0,0,8,0.1,0,8,2.8,8,16.8,8
2023/5/16,16.8,8,0.5,0,8,8.9,0,8,3.6,8,15.3,8
2023/5/17,20.2,8,0,1,8,12.9,0,8,2.9,8,14.4,8
2023/5/18,23.7,8,0,1,8,12.3,0,8,2.9,8,13.9,8
2023/5/19,19.3,8,4.0,0,8,0.1,0,8,3.0,8,17.1,8
2023/5/20,16.5,8,1.0,0,8,0.3,0,8,2.5,8,15.2,8
2023/5/21,18.6,8,0,1,8,7.1,0,8,2.5,8,17.5,8
2023/5/22,20.7,8,1.5,0,8,5.5,0,8,3.0,8,13.2,8
2023/5/23,14.1,8,3.5,0,8,0.0,0,8,2.2,8,13.7,8
2023/5/24,14.8,8,1.5,0,8,6.4,0,8,4.6,8,10.5,8
2023/5/25,16.8,8,0,1,8,10.3,0,8,2.6,8,11.6,8
2023/5/26,18.0,8,0.0,0,8,3.7,0,8,2.6,8,15.8,8
2023/5/27,20.6,8,0,1,8,10.3,0,8,2.4,8,16.7,8
2023/5/28,19.0,8,1.5,0,8,0.2,0,8,1.9,8,18.1,8
2023/5/29,19.4,8,4.0,0,8,0.0,0,8,1.6,8,20.5,8
2023/5/30,19.8,8,0,1,8,5.6,0,8,3.1,8,15.4,8
2023/5/31,18.6,8,0,1,8,12.6,0,8,2.5,8,9.6,8
2023/6/1,18.8,8,0,1,8,12.0,0,8,4.2,8,13.8,8
2023/6/2,19.3,8,21.5,0,8,0.0,0,8,2.7,8,21.2,8
2023/6/3,20.7,8,0,1,8,6.7,0,8,3.8,8,14.5,8
2023/6/4,21.1,8,0,1,8,11.3,0,8,3.8,8,11.7,8
2023/6/5,22.3,8,0,1,8,12.1,0,8,2.9,8,13.1,8
2023/6/6,20.9,8,0.0,0,8,8.8,0,8,3.1,8,17.7,8
2023/6/7,22.6,8,0.0,0,8,10.1,0,8,2.9,8,19.1,8
2023/6/8,21.2,8,0.0,0,8,7.1,0,8,3.9,8,19.7,8
2023/6/9,18.1,8,28.5,0,8,0.0,0,8,4.1,8,19.3,8
2023/6/10,20.8,8,0,1,8,6.4,0,8,2.5,8,20.4,8
2023/6/11,20.0,8,5.5,0,8,0.0,0,8,2.1,8,21.7,8
2023/6/12,20.4,8,1.0,0,8,0.0,0,8,2.5,8,21.1,8
2023/6/13,21.8,8,5.0,0,8,4.0,0,8,2.1,8,22.7,8
2023/6/14,21.0,8,1.0,0,8,0.0,0,8,2.0,8,22.7,8
2023/6/15,20.3,8,13.0,0,8,0.0,0,8,2.2,8,22.6,8
2023/6/16,20.2,8,51.5,0,8,1.3,0,8,2.8,8,20.2,8
2023/6/17,24.2,8,0,1,8,11.9,0,8,2.6,8,19.1,8
2023/6/18,25.0,8,0.0,0,8,9.1,0,8,2.7,8,18.9,8
2023/6/19,20.2,8,0,1,8,13.4,0,8,3.2,8,15.5,8
2023/6/20,21.0,8,0,1,8,12.6,0,8,2.7,8,16.8,8
2023/6/21,20.8,8,0,1,8,6.1,0,8,3.8,8,17.4,8
2023/6/22,20.2,8,0.0,0,8,0.0,0,8,4.7,8,18.6,8
2023/6/23,20.0,8,3.5,0,8,0.0,0,8,2.0,8,20.7,8
2023/6/24,22.0,8,0.5,0,8,4.8,0,8,2.1,8,22.7,8
2023/6/25,22.9,8,0.0,0,8,6.2,0,8,2.3,8,22.6,8
2023/6/26,23.2,8,0.0,0,8,5.1,0,8,2.8,8,23.5,8
2023/6/27,24.7,8,0.0,0,8,3.9,0,8,2.0,8,25.8,8
2023/6/28,24.8,8,32.0,0,8,2.4,0,8,2.5,8,27.5,8
2023/6/29,25.0,8,6.5,0,8,5.5,0,8,2.1,8,24.9,8
2023/6/30,24.5,8,3.5,0,8,1.4,0,8,2.6,8,27.1,8
2023/7/1,25.0,8,1.5,0,8,0.6,0,8,2.1,8,25.0,8
2023/7/2,24.2,8,0,1,8,10.1,0,8,3.3,8,23.4,8
2023/7/3,25.2,8,0.0,0,8,6.1,0,8,2.8,8,21.7,8
2023/7/4,23.3,8,0,1,8,8.8,0,8,2.9,5,20.7,8
2023/7/5,22.9,8,2.0,0,8,0.0,0,8,3.3,8,23.9,8
2023/7/6,25.7,8,0.0,0,8,10.0,0,8,4.0,8,26.2,8
2023/7/7,26.8,8,0,1,8,6.0,0,8,1.9,8,25.5,8
2023/7/8,22.1,8,34.5,0,8,0.0,0,8,1.9,8,24.2,8
2023/7/9,24.8,8,0.5,0,8,5.1,0,8,1.7,8,27.1,8
2023/7/10,27.7,8,1.0,0,8,4.1,0,8,1.9,8,29.9,8
2023/7/11,28.9,8,0.0,0,8,7.7,0,8,2.3,8,27.4,8
2023/7/12,27.8,8,4.5,0,8,3.7,0,8,3.3,8,25.3,8
2023/7/13,28.0,8,0.0,0,8,10.0,0,8,3.3,8,20.9,8
2023/7/14,24.8,8,1.0,0,8,5.1,0,8,2.0,8,23.4,8
2023/7/15,24.1,8,14.0,0,8,0.0,0,8,3.0,8,28.0,8
2023/7/16,29.5,8,0.0,0,8,6.9,0,8,2.9,8,28.5,8
2023/7/17,29.6,8,0,1,8,10.5,0,8,1.6,8,29.2,8
2023/7/18,27.9,8,8.5,0,8,2.5,0,8,2.2,8,27.1,8
2023/7/19,23.8,8,57.0,0,8,0.0,0,8,2.3,8,28.0,8
2023/7/20,23.2,8,30.0,0,8,3.9,0,8,2.3,8,25.6,8
2023/7/21,22.8,8,0.5,0,8,1.5,0,8,1.8,8,23.6,8
2023/7/22,24.8,8,0.0,0,8,10.9,0,8,2.8,8,25.5,8
2023/7/23,25.5,8,0,1,8,6.9,0,8,3.3,8,26.4,8
2023/7/24,26.2,8,0,1,8,9.0,0,8,2.3,8,27.6,8
2023/7/25,28.9,8,0,1,8,10.0,0,8,2.4,8,28.6,8
2023/7/26,29.9,8,0,1,8,11.9,0,8,2.4,8,27.8,8
2023/7/27,29.7,8,0,1,8,11.2,0,8,2.6,8,27.8,8
2023/7/28,29.6,8,0,1,8,13.5,0,8,2.3,8,29.0,8
2023/7/29,30.1,8,0,1,8,13.4,0,8,2.2,8,29.4,8
2023/7/30,30.4,8,0,1,8,11.2,0,8,2.2,8,30.9,8
2023/7/31,30.4,8,0.0,0,8,5.6,0,8,2.3,8,29.3,8
2023/8/1,28.1,8,0.5,0,8,5.9,0,8,2.7,8,27.6,8
2023/8/2,29.1,8,0,1,8,11.3,0,8,2.4,8,28.8,8
2023/8/3,29.7,8,0,1,8,11.2,0,8,2.3,8,29.3,8
2023/8/4,30.5,8,0,1,8,12.2,0,8,2.4,8,29.4,8
2023/8/5,30.0,8,0,1,8,10.2,0,8,2.6,8,30.1,8
2023/8/6,29.2,8,0,1,8,6.7,0,8,4.4,8,30.2,8
2023/8/7,27.6,8,0,1,8,7.4,0,8,4.9,8,30.2,8
2023/8/8,27.4,8,1.5,0,8,5.0,0,8,3.3,8,31.3,8
2023/8/9,27.8,8,0.0,0,8,3.8,0,8,5.8,8,32.5,8
2023/8/10,27.8,8,0.0,0,8,9.7,0,8,6.1,8,31.4,8
2023/8/11,27.7,8,5.5,0,8,8.4,0,8,3.1,8,29.7,8
2023/8/12,25.6,8,16.5,0,8,0.0,0,8,3.3,8,29.3,8
2023/8/13,27.7,8,0.0,0,8,5.2,0,8,2.8,8,32.1,8
2023/8/14,28.3,8,1.0,0,8,4.9,0,8,2.7,8,33.4,8
2023/8/15,28.2,8,1.0,0,8,5.6,0,8,4.9,8,33.2,8
2023/8/16,28.0,8,0.0,0,8,4.2,0,8,6.7,8,32.2,8
2023/8/17,28.4,8,0.0,0,8,8.5,0,8,2.8,8,32.1,8
2023/8/18,29.0,8,1.0,0,8,7.9,0,8,3.1,8,33.1,8
2023/8/19,28.8,8,3.0,0,8,5.9,0,8,2.5,8,32.5,8
2023/8/20,28.7,8,0.0,0,8,6.7,0,8,2.5,8,31.6,8
2023/8/21,29.0,8,0,1,8,9.3,0,8,3.4,8,32.5,8
2023/8/22,29.2,8,0,1,8,10.6,0,8,3.9,8,32.8,8
2023/8/23,29.1,8,0,1,8,11.5,0,8,4.6,8,32.9,8
2023/8/24,29.3,8,0,1,8,11.6,0,8,3.4,8,31.3,8
2023/8/25,28.7,8,0,1,8,11.8,0,8,3.6,8,29.9,8
2023/8/26,28.6,8,0,1,8,8.5,0,8,3.2,8,30.4,8
2023/8/27,27.7,8,0.0,0,8,5.9,0,8,2.6,8,29.0,8
2023/8/28,30.6,8,0,1,8,10.7,0,8,3.7,8,26.4,8
2023/8/29,28.4,8,0.0,0,8,5.5,0,8,2.8,8,31.2,8
2023/8/30,28.7,8,0.0,0,8,7.3,0,8,3.2,8,32.2,8
2023/8/31,29.1,8,0,1,8,8.4,0,8,3.3,8,31.2,8
2023/9/1,28.6,8,0,1,8,9.5,0,8,3.0,8,28.6,8
2023/9/2,28.3,8,0,1,8,8.4,0,8,2.5,8,28.6,8
2023/9/3,27.4,8,2.5,0,8,6.7,0,8,3.0,8,30.0,8
2023/9/4,26.0,8,14.5,0,8,0.0,0,8,3.0,8,32.0,8
2023/9/5,26.9,8,48.0,0,8,3.4,0,8,2.0,8,32.1,8
2023/9/6,24.0,8,97.0,0,8,0.0,0,8,1.8,8,29.1,8
2023/9/7,25.2,8,0,1,8,8.0,0,8,2.8,8,23.5,8
2023/9/8,23.8,8,22.0,0,8,0.0,0,8,2.8,8,24.2,8
2023/9/9,27.2,8,14.5,0,8,5.9,0,8,3.1,8,31.7,8
2023/9/10,27.6,8,0.0,0,8,5.5,0,8,2.1,8,30.6,8
2023/9/11,27.5,8,0.0,0,8,7.6,0,8,3.8,8,30.3,8
2023/9/12,27.2,8,0.5,0,8,10.8,0,8,4.1,8,28.9,8
2023/9/13,26.5,8,0.5,0,8,6.6,0,8,2.6,8,28.5,8
2023/9/14,27.1,8,0.0,0,8,6.7,0,8,2.1,8,29.3,8
2023/9/15,25.2,8,2.0,0,8,1.9,0,8,2.6,8,26.7,8
2023/9/16,24.9,8,0.0,0,8,0.8,0,8,1.6,8,27.6,8
2023/9/17,26.2,8,0.0,0,8,0.5,0,8,2.2,8,30.3,8
2023/9/18,28.0,8,7.0,0,8,8.3,0,8,2.3,8,31.2,8
2023/9/19,27.9,8,0.0,0,8,5.2,0,8,1.7,8,28.0,8
2023/9/20,26.6,8,0.0,0,8,2.3,0,8,2.0,8,24.0,8
2023/9/21,23.6,8,1.0,0,8,0.0,0,8,2.5,8,25.5,8
2023/9/22,23.8,8,0.0,0,8,0.5,0,8,3.0,8,22.7,8
2023/9/23,21.9,8,0.0,0,8,6.8,0,8,3.8,8,15.4,8
2023/9/24,20.6,8,0,1,8,10.9,0,8,3.0,8,15.5,8
2023/9/25,21.2,8,0.0,0,8,6.1,0,8,2.5,8,19.2,8
2023/9/26,22.8,8,0.0,0,8,1.5,0,8,2.1,8,21.9,8
2023/9/27,21.2,8,30.5,0,8,0.6,0,8,1.8,8,22.8,8
2023/9/28,22.8,8,22.5,0,8,1.0,0,8,2.5,8,23.5,8
2023/9/29,23.5,8,0,1,8,7.8,0,8,3.1,8,17.1,8
2023/9/30,19.1,8,9.5,0,8,0.0,0,8,2.2,8,17.7,8
2023/10/1,21.3,8,2.0,0,8,2.9,0,8,1.9,8,21.4,8
2023/10/2,20.3,8,0,1,8,8.7,0,8,3.2,8,13.1,8
2023/10/3,20.6,8,0.0,0,8,9.2,0,8,2.9,8,13.0,8
2023/10/4,19.0,8,0.0,0,8,0.4,0,8,2.6,8,16.3,8
2023/10/5,18.4,8,0.0,0,8,3.5,0,8,3.0,8,15.2,8
2023/10/6,17.4,8,0.0,0,8,10.4,0,8,7.8,8,10.2,8
2023/10/7,16.6,8,0.0,0,8,3.2,0,8,3.6,8,11.6,8
2023/10/8,16.8,8,0.0,0,8,7.5,0,8,2.6,8,12.4,8
2023/10/9,15.6,8,10.0,0,8,0.0,0,8,2.3,8,16.3,8
2023/10/10,17.4,8,7.5,0,8,0.4,0,8,3.1,8,18.0,8
2023/10/11,17.3,8,0.0,0,8,9.3,0,8,3.2,8,12.3,8
2023/10/12,16.3,8,0,1,8,8.8,0,8,2.2,8,11.1,8
2023/10/13,17.3,8,0,1,8,10.3,0,8,2.9,8,11.0,8
2023/10/14,17.5,8,0,1,8,10.6,0,8,2.0,8,12.4,8
2023/10/15,14.0,8,22.0,0,8,0.0,0,8,2.3,8,14.4,8
2023/10/16,18.2,8,0.0,0,8,8.6,0,8,2.9,8,13.1,8
2023/10/17,17.0,8,0.0,0,8,9.1,0,8,3.8,8,9.9,8
2023/10/18,16.7,8,0,1,8,9.9,0,8,2.2,8,12.8,8
2023/10/19,18.1,8,0,1,8,8.8,0,8,2.3,8,14.9,8
2023/10/20,18.5,8,0.0,0,8,2.4,0,8,3.0,8,14.5,8
2023/10/21,13.1,8,0.0,0,8,4.5,0,8,4.3,8,8.9,8
2023/10/22,12.3,8,0.0,0,8,8.7,0,8,3.2,8,8.2,8
2023/10/23,15.8,8,0.0,0,8,9.0,0,8,2.7,8,10.6,8
2023/10/24,14.7,8,0,1,8,10.1,0,8,2.4,8,11.4,8
2023/10/25,15.9,8,0.0,0,8,5.9,0,8,2.8,8,13.7,8
2023/10/26,16.1,8,0,1,8,8.6,0,8,2.8,8,12.3,8
2023/10/27,14.4,8,0.0,0,8,4.3,0,8,1.8,8,12.0,8
2023/10/28,15.4,8,3.0,0,8,7.1,0,8,2.1,8,12.7,8
2023/10/29,15.6,8,2.0,0,8,0.8,0,8,3.8,8,13.4,8
2023/10/30,14.8,8,0,1,8,9.9,0,8,3.2,8,11.0,8
2023/10/31,14.7,8,0,1,8,10.1,0,8,2.3,8,12.5,8
2023/11/1,16.2,8,0,1,8,10.0,0,8,2.6,8,13.4,8
2023/11/2,17.0,8,2.5,0,8,6.8,0,8,2.2,8,14.6,8
2023/11/3,17.5,8,0,1,8,9.6,0,8,2.2,8,15.2,8
2023/11/4,16.2,8,0.0,0,8,2.4,0,8,2.3,8,13.2,8
2023/11/5,15.3,8,0.0,0,8,0.5,0,8,2.6,8,14.7,8
2023/11/6,18.9,8,0.5,0,8,2.8,0,8,3.7,8,18.3,8
2023/11/7,18.9,8,13.0,0,8,2.0,0,8,4.1,8,15.3,8
2023/11/8,14.3,8,0,1,8,9.5,0,8,4.5,5,8.7,8
2023/11/9,12.9,8,0,1,8,9.7,0,8,2.3,8,10.8,8
2023/11/10,14.6,8,1.0,0,8,1.5,0,8,2.4,8,13.7,8
2023/11/11,9.7,8,0.0,0,8,6.7,0,8,4.7,8,6.4,8
2023/11/12,6.6,8,0.0,0,8,0.4,0,8,2.9,8,6.8,8
2023/11/13,7.4,8,0.0,0,8,6.0,0,8,3.4,8,6.7,8
2023/11/14,8.8,8,0,1,8,4.9,0,8,2.6,8,6.8,8
2023/11/15,9.1,8,0,1,8,9.5,0,8,2.1,8,7.8,8
2023/11/16,10.5,8,0.0,0,8,8.9,0,8,2.8,8,8.9,8
2023/11/17,11.8,8,20.5,0,8,0.0,0,8,3.4,8,12.1,8
2023/11/18,9.9,8,0.0,0,8,8.5,0,8,4.0,8,7.1,8
2023/11/19,12.4,8,0.5,0,8,5.6,0,8,4.0,8,8.6,8
2023/11/20,10.8,8,0.5,0,8,7.6,0,8,5.5,8,7.1,8
2023/11/21,9.6,8,0,1,8,9.5,0,8,2.3,8,7.4,8
2023/11/22,10.3,8,0,1,8,9.6,0,8,2.2,8,8.9,8
2023/11/23,11.6,8,0,1,8,5.8,0,8,2.4,8,10.9,8
2023/11/24,11.9,8,0.0,0,8,4.1,0,8,4.3,8,9.2,8
2023/11/25,5.2,8,0.0,0,8,5.3,0,8,4.7,8,4.7,8
2023/11/26,7.1,8,0,1,8,9.3,0,8,1.9,8,6.0,8
2023/11/27,8.7,8,0,1,8,5.4,0,8,1.9,8,8.4,8
2023/11/28,9.4,8,3.5,0,8,4.8,0,8,3.6,8,8.7,8
2023/11/29,5.3,8,2.0,0,8,0.7,0,8,2.2,8,7.9,8
2023/11/30,3.2,8,1.0,0,8,3.6,0,8,3.0,8,6.0,8
2023/12/1,3.7,8,0.0,0,8,4.3,0,8,2.4,8,5.6,8
2023/12/2,4.5,8,0,1,8,6.7,0,8,2.3,8,6.1,8
2023/12/3,5.9,8,0,1,8,6.0,0,8,2.3,8,6.9,8
2023/12/4,6.7,8,0,1,8,9.1,0,8,2.6,8,6.4,8
2023/12/5,6.8,8,0.0,0,8,5.1,0,8,2.5,8,6.8,8
2023/12/6,8.7,8,3.0,0,8,3.1,0,8,2.8,8,9.2,8
2023/12/7,8.2,8,0.0,0,8,4.7,0,8,3.6,8,8.0,8
2023/12/8,9.4,8,0.0,0,8,4.6,0,8,2.3,8,7.5,8
2023/12/9,10.4,8,0,1,8,8.8,0,8,2.1,8,8.5,8
2023/12/10,11.6,8,0,1,8,1.7,0,8,3.3,8,9.7,8
2023/12/11,8.9,8,0.0,0,8,7.6,0,8,3.8,8,6.2,8
2023/12/12,8.0,8,17.0,0,8,0.3,0,8,4.7,8,8.4,8
2023/12/13,7.3,8,0,1,8,6.1,0,8,4.8,8,5.4,8
2023/12/14,7.2,8,0,1,8,2.6,0,8,2.8,8,6.1,8
2023/12/15,4.2,8,16.0,0,8,0.0,0,8,2.7,8,7.3,8
2023/12/16,9.3,8,9.5,0,8,0.0,0,8,2.6,8,10.7,8
2023/12/17,3.8,8,2.5,0,8,1.7,0,8,4.2,8,5.9,8
2023/12/18,0.9,8,0.0,0,8,7.8,0,8,3.1,8,4.4,8
2023/12/19,2.3,8,0,1,8,1.6,0,8,2.1,8,5.1,8
2023/12/20,2.1,8,0.0,0,8,3.3,0,8,4.1,8,5.3,8
2023/12/21,1.3,8,0,1,8,7.7,0,8,5.0,8,3.9,8
2023/12/22,1.4,8,0,1,8,5.7,0,8,2.8,8,3.9,8
2023/12/23,1.6,8,0.0,0,8,5.8,0,8,3.4,8,4.1,8
2023/12/24,2.8,8,0,1,8,4.5,0,8,1.6,8,4.9,8
2023/12/25,4.1,8,0.0,0,8,5.4,0,8,2.6,8,5.5,8
2023/12/26,5.9,8,0.0,0,8,4.4,0,8,2.6,8,6.3,8
2023/12/27,5.5,8,0,1,8,8.1,0,8,4.8,8,4.2,8
2023/12/28,3.9,8,0,1,8,9.0,0,8,1.8,8,4.6,8
2023/12/29,5.9,8,0.0,0,8,3.6,0,8,2.3,8,6.5,8
2023/12/30,6.6,8,0,1,8,6.1,0,8,2.1,8,6.9,8
2023/12/31,8.3,8,2.0,0,8,1.4,0,8,2.1,8,8.0,8
2024/1/1,5.7,8,0.0,0,8,4.7,0,8,5.1,8,5.4,8
2024/1/2,4.8,8,0,1,8,7.3,0,8,1.5,8,5.5,8
2024/1/3,6.7,8,3.5,0,8,0.4,0,8,2.7,8,7.4,8
2024/1/4,6.1,8,0.0,0,8,7.1,0,8,4.5,8,6.3,8
2024/1/5,7.1,8,0.0,0,8,8.7,0,8,3.0,8,5.9,8
2024/1/6,7.0,8,0.0,0,8,0.0,0,8,2.4,8,7.6,8
2024/1/7,3.6,8,0.0,0,8,6.3,0,8,4.1,8,4.6,8
2024/1/8,0.9,8,0.0,0,8,4.4,0,8,2.9,8,4.3,8
2024/1/9,5.3,8,0.0,0,8,6.7,0,8,2.7,8,5.4,8
2024/1/10,3.5,8,0,1,8,8.0,0,8,3.7,8,4.9,8
2024/1/11,1.5,8,0,1,8,8.7,0,8,2.5,8,4.2,8
2024/1/12,3.5,8,0.0,0,8,4.8,0,8,3.5,8,5.1,8
2024/1/13,2.4,8,0.0,0,8,4.2,0,8,3.7,8,4.2,8
2024/1/14,4.5,8,0,1,8,7.8,0,8,3.4,8,4.1,8
2024/1/15,1.9,8,0.0,0,8,8.2,0,8,4.9,8,4.4,8
2024/1/16,-1.1,8,0.5,0,8,4.0,0,8,3.8,8,4.2,8
2024/1/17,5.2,8,0,1,8,9.1,0,8,3.0,8,4.9,8
2024/1/18,6.7,8,0,1,8,2.3,0,8,2.2,8,6.4,8
2024/1/19,5.3,8,0,1,8,9.3,0,8,5.9,8,4.9,8
2024/1/20,4.3,8,0.5,0,8,6.4,0,8,2.3,8,5.0,8
2024/1/21,6.2,8,67.0,0,8,0.0,0,8,5.4,8,9.0,8
2024/1/22,7.3,8,3.5,0,8,0.0,0,8,3.5,8,9.5,8
2024/1/23,5.9,8,0.0,0,8,5.1,0,8,3.8,8,6.2,8
2024/1/24,1.6,8,5.0,0,8,8.2,0,8,5.5,8,4.5,8
2024/1/25,1.0,8,2.5,0,8,6.8,0,8,5.0,8,4.5,8
2024/1/26,2.9,8,0.0,0,8,1.2,0,8,4.1,8,5.2,8
2024/1/27,3.5,8,0.0,0,8,5.1,0,8,2.8,8,5.2,8
2024/1/28,3.5,8,0,1,8,5.9,0,8,2.8,8,5.1,8
2024/1/29,4.1,8,0,1,8,5.8,0,8,2.4,8,5.0,8
2024/1/30,4.5,8,0,1,8,9.4,0,8,2.5,8,5.1,8
2024/1/31,6.2,8,0,1,8,8.2,0,8,2.1,8,5.3,8
2024/2/1,4.4,8,0.0,0,8,6.0,0,8,5.6,8,4.6,8
2024/2/2,1.6,8,0,1,8,6.2,0,8,3.6,8,3.8,8
2024/2/3,2.2,8,0.0,0,8,2.1,0,8,3.7,8,4.1,8
2024/2/4,4.2,8,0,1,8,7.6,0,8,3.4,8,4.0,8
2024/2/5,1.9,8,2.5,0,8,0.0,0,8,3.5,8,4.7,8
2024/2/6,0.5,8,0.0,0,8,0.0,0,8,3.4,8,4.8,8
2024/2/7,2.2,8,0,1,8,7.5,0,8,2.2,8,4.7,8
2024/2/8,3.4,8,0.0,0,8,2.1,0,8,2.3,8,4.9,8
2024/2/9,3.8,8,0,1,8,6.7,0,8,2.9,8,4.6,8
2024/2/10,3.9,8,0.0,0,8,8.5,0,8,2.6,8,5.0,8
2024/2/11,3.1,8,0.0,0,8,5.1,0,8,3.3,8,5.0,8
2024/2/12,3.1,8,0,1,8,8.2,0,8,3.2,8,4.4,8
2024/2/13,6.9,8,0,1,8,10.3,0,8,2.0,8,4.6,8
2024/2/14,12.6,8,0,1,8,9.4,0,8,3.0,8,7.1,8
